[2022-02-28 14:31:54,434] [views.py:80] [views:get_context] [ERROR]- 身份错误
[2022-02-28 14:32:58,415] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/Develop：TEAM_JT/ChileCat_Admin_Web
[2022-02-28 14:32:59,177] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-02-28 14:32:59,177] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-02-28 14:32:59,177] [views.py:93] [views:get_context] [INFO]- HEAD is now at 9f6dc49 删除无用注释

[2022-02-28 14:32:59,177] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-02-28 14:38:09,540] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/master：TEAM_JT/ChileCat_Admin_Web
[2022-02-28 14:38:10,285] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-02-28 14:38:10,285] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-02-28 14:38:10,286] [views.py:93] [views:get_context] [INFO]- HEAD is now at 8afa7f4 更新备案号

[2022-02-28 14:38:10,286] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-02-28 14:52:25,414] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/ZouYang：TEAM_JT/smart-cloud-uni-app
[2022-02-28 14:54:38,509] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/Dev：TEAM_JT/smart-cloud-uni-app
[2022-02-28 14:54:40,901] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-02-28 14:54:40,901] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-02-28 14:54:40,901] [views.py:93] [views:get_context] [INFO]- HEAD is now at b7a66b1 打包 修改备案号

[2022-02-28 14:54:40,902] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-02-28 15:00:17,626] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/master：TEAM_JT/smart-cloud-uni-app
[2022-02-28 15:00:18,642] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-02-28 15:00:18,642] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-02-28 15:00:18,642] [views.py:93] [views:get_context] [INFO]- HEAD is now at 8cad3fb 打包修改备案号域名

[2022-02-28 15:00:18,642] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-02-28 15:05:46,058] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/Dev：TEAM_JT/smart-cloud-uni-app
[2022-02-28 15:05:47,070] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-02-28 15:05:47,071] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-02-28 15:05:47,071] [views.py:93] [views:get_context] [INFO]- HEAD is now at cee7b55 打包

[2022-02-28 15:05:47,071] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-02-28 15:23:51,177] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/Develop：TEAM_JT/ChileCat
[2022-02-28 15:23:54,209] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-02-28 15:23:54,209] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-02-28 15:23:54,209] [views.py:93] [views:get_context] [INFO]- HEAD is now at 6a85643 配置开发模式

[2022-02-28 15:23:54,210] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-02-28 15:23:54,210] [views.py:93] [views:get_context] [INFO]- ● ChileCatTest.service - ChileCatTest

[2022-02-28 15:23:54,210] [views.py:93] [views:get_context] [INFO]-    Loaded: loaded (/etc/systemd/system/ChileCatTest.service; disabled; vendor preset: disabled)

[2022-02-28 15:23:54,210] [views.py:93] [views:get_context] [INFO]-    Active: active (running) since Mon 2022-02-28 15:23:54 CST; 63ms ago

[2022-02-28 15:23:54,210] [views.py:93] [views:get_context] [INFO]-  Main PID: 440 (gunicorn)

[2022-02-28 15:23:54,210] [views.py:93] [views:get_context] [INFO]-     Tasks: 0

[2022-02-28 15:23:54,210] [views.py:93] [views:get_context] [INFO]-    Memory: 0B

[2022-02-28 15:23:54,211] [views.py:93] [views:get_context] [INFO]-    CGroup: /system.slice/ChileCatTest.service

[2022-02-28 15:23:54,211] [views.py:93] [views:get_context] [INFO]-            └─440 /project/ChileCatTest/env/bin/python3 /project/ChileCatTest/env/bin/gunicorn ChileCat.asgi:application -b 0.0.0.0:9000 -w 1 -k uvicorn.workers.UvicornWorker --reload --log-file -

[2022-02-28 15:23:54,211] [views.py:93] [views:get_context] [INFO]- 

[2022-02-28 15:23:54,211] [views.py:93] [views:get_context] [INFO]- Feb 28 15:23:54 VM-16-12-centos systemd[1]: Started ChileCatTest.

[2022-02-28 15:27:06,870] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/Develop：TEAM_JT/ChileCat
[2022-02-28 15:27:07,977] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-02-28 15:27:07,978] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-02-28 15:27:07,978] [views.py:93] [views:get_context] [INFO]- HEAD is now at fb1ab44 配置开发数据库

[2022-02-28 15:27:07,978] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-02-28 15:27:07,978] [views.py:93] [views:get_context] [INFO]- ● ChileCatTest.service - ChileCatTest

[2022-02-28 15:27:07,978] [views.py:93] [views:get_context] [INFO]-    Loaded: loaded (/etc/systemd/system/ChileCatTest.service; disabled; vendor preset: disabled)

[2022-02-28 15:27:07,979] [views.py:93] [views:get_context] [INFO]-    Active: active (running) since Mon 2022-02-28 15:27:07 CST; 6ms ago

[2022-02-28 15:27:07,979] [views.py:93] [views:get_context] [INFO]-  Main PID: 1818 (gunicorn)

[2022-02-28 15:27:07,979] [views.py:93] [views:get_context] [INFO]-     Tasks: 1

[2022-02-28 15:27:07,979] [views.py:93] [views:get_context] [INFO]-    Memory: 616.0K

[2022-02-28 15:27:07,979] [views.py:93] [views:get_context] [INFO]-    CGroup: /system.slice/ChileCatTest.service

[2022-02-28 15:27:07,979] [views.py:93] [views:get_context] [INFO]-            └─1818 /project/ChileCatTest/env/bin/python3 /project/ChileCatTest/env/bin/gunicorn ChileCat.asgidev:application -b 0.0.0.0:9000 -w 1 -k uvicorn.workers.UvicornWorker --reload --log-file -

[2022-02-28 15:27:07,979] [views.py:93] [views:get_context] [INFO]- 

[2022-02-28 15:27:07,979] [views.py:93] [views:get_context] [INFO]- Feb 28 15:27:07 VM-16-12-centos systemd[1]: Started ChileCatTest.

[2022-02-28 15:53:21,628] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/ZouYang：TEAM_JT/ChileCat_Admin_Web
[2022-03-03 20:16:05,402] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/ZouYang：TEAM_JT/ChileCat_Admin_Web
[2022-03-03 20:16:14,445] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/ZouYang：TEAM_JT/ChileCat
[2022-03-03 20:25:15,741] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/Develop：TEAM_JT/ChileCat
[2022-03-03 20:25:19,918] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-03-03 20:25:19,918] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-03-03 20:25:19,918] [views.py:93] [views:get_context] [INFO]- HEAD is now at cca1ce9 Merge branch 'ZouYang' into Develop

[2022-03-03 20:25:19,919] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-03-03 20:25:19,919] [views.py:93] [views:get_context] [INFO]- ● ChileCatTest.service - ChileCatTest

[2022-03-03 20:25:19,919] [views.py:93] [views:get_context] [INFO]-    Loaded: loaded (/etc/systemd/system/ChileCatTest.service; disabled; vendor preset: disabled)

[2022-03-03 20:25:19,919] [views.py:93] [views:get_context] [INFO]-    Active: active (running) since Thu 2022-03-03 20:25:19 CST; 41ms ago

[2022-03-03 20:25:19,919] [views.py:93] [views:get_context] [INFO]-  Main PID: 13728 ((gunicorn))

[2022-03-03 20:25:19,919] [views.py:93] [views:get_context] [INFO]-     Tasks: 1

[2022-03-03 20:25:19,919] [views.py:93] [views:get_context] [INFO]-    Memory: 44.0K

[2022-03-03 20:25:19,919] [views.py:93] [views:get_context] [INFO]-    CGroup: /system.slice/ChileCatTest.service

[2022-03-03 20:25:19,920] [views.py:93] [views:get_context] [INFO]-            └─13728 (gunicorn)                                                        

[2022-03-03 20:25:19,920] [views.py:93] [views:get_context] [INFO]- 

[2022-03-03 20:25:19,920] [views.py:93] [views:get_context] [INFO]- Mar 03 20:25:19 VM-16-12-centos systemd[1]: Started ChileCatTest.

[2022-03-03 20:25:31,712] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/Develop：TEAM_JT/ChileCat_Admin_Web
[2022-03-03 20:25:34,022] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-03-03 20:25:34,022] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-03-03 20:25:34,022] [views.py:93] [views:get_context] [INFO]- HEAD is now at 2c70c06 修改模板地址

[2022-03-03 20:25:34,022] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

[2022-03-03 20:35:14,618] [views.py:86] [views:get_context] [INFO]- 执行更新：refs/heads/master：TEAM_JT/chile-cat-doc
[2022-03-03 20:35:15,480] [views.py:91] [views:get_context] [INFO]- 自动部署执行结果：
[2022-03-03 20:35:15,480] [views.py:93] [views:get_context] [INFO]- Fetching origin

[2022-03-03 20:35:15,481] [views.py:93] [views:get_context] [INFO]- HEAD is now at 7e48668 2022.03.03

[2022-03-03 20:35:15,481] [views.py:93] [views:get_context] [INFO]- Already up-to-date.

